Part,Value,Package,
,,,
"R1-R11, R13",10k,R0805,
R12,5.9k,R0805,
C1,440nF 6.3V,"E2,5-7",low ESR if possible
C2,100nF,C0805,
C3,220uF >=35V,"E2,5-7",
"C4, C5",10nF,C0805,
CIN,4.7uF,1206,
L1,56uH,IND_NPI75C,
Q1-Q5,AOD2910SMD,DPAK-3,
"CLR, PRG, RST",TACTILE-SWITCH-1101NE,,
D1,"Nexperia PMEG6010CEH,115",SMA,
U1,TPS5410DR,M08A,
DISABLE,1X02,pinheader 2x1,
ESP-12,ESP8266_ESP-12,ESP8266-ESP12,
PROG,1x03,pinheader 3x1,
RGB,W237-4P,screw Terminal 4p,
VCC,W237-132,screw Terminal 2p,
W,W237-133,screw Terminal 3p,
